model,dataset,n_seeds,test_auroc_mean,test_auroc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_brier_mean,test_brier_std,test_loss_mean,test_loss_std,params,complexity
dlinear,p19,3,0.8277387356005249,0.0014650561001807688,0.49583350824914496,0.002264004951360348,0.655858603913298,0.011483623153097984,0.11571358889341354,0.009661258496521287,0.3983274264293804,0.024097545319794963,1200770,O(n*d)
gru_d,p19,3,0.9524167220232984,0.0024555571037973276,0.7657404210850377,0.011070810617049067,0.7721134814088305,0.027579086929933685,0.0650580848256747,0.015238941151418188,0.2257939411555989,0.05311704337836572,672036,O(n*d^2)
latent_ode,p19,3,0.9525230472610619,0.0015921532016498247,0.7478549196179127,0.016140182466021176,0.7192993366672371,0.06024245683394616,0.08977197234829266,0.03180372461348509,0.28883518823667576,0.09090273693635387,40482,O(n*s*d)
linear_gru,p19,3,0.8177623229262866,0.0021836376055270803,0.30262846803434446,0.006082126930392524,0.629107530529292,0.015181981346773434,0.11776851365963618,0.012962470218553852,0.3781184546780168,0.032833101215392,619522,O(n*d^2)
mamba,p19,3,0.9371917580726171,0.001789002455766986,0.6871773230606574,0.014743378300608612,0.7646433300563089,0.014401349337051696,0.06269221380352974,0.0064493524870343774,0.22682112925931028,0.022779590452142028,1771266,O(n*d)
mtan,p19,3,0.9501250249779923,0.0003522448448445134,0.776956751553865,0.006875025775852741,0.7696504577718796,0.012667480304022496,0.06429886072874069,0.007482813154361583,0.2270220690913368,0.033489781042733965,843010,O(n*k*d)
neural_cde,p19,3,0.6251834194736529,0.025816629483811002,0.1606534731338968,0.016352746612817732,0.5242724135790211,0.032416310476619685,0.23942235112190247,0.04061980821395023,0.7409108350151463,0.1701855035116043,664706,O(n*s*d)
patchtst,p19,3,0.9208996937833153,0.0032657865338979984,0.6326565260520307,0.013001497802266287,0.7400972896079022,0.013021751646348138,0.07206037143866222,0.008132268260509919,0.24539609776254287,0.025667877082892504,1598210,O(n^2*d) FLOP / O(n*d) HBM
s4,p19,3,0.9414744036335553,0.004058867941704598,0.7365654790103614,0.017096342529059807,0.7591990184681912,0.006061377022409793,0.06725477427244186,0.005014095654411984,0.2313822538706294,0.023402363394661965,1534210,O(n*log_n*d)
