model,dataset,seed,status,wall_s,params,complexity,best_val_auroc,test_auroc,test_auprc,test_f1,test_brier,test_loss
dlinear,p19,42,ok,75.67594885826111,1200770,O(n*d),0.8324110760006481,0.8259526741303609,0.4947418858617129,0.6557612055760512,0.11273618042469025,0.3902966166797437
dlinear,p19,123,ok,76.49409914016724,1200770,O(n*d),0.8373045292497165,0.8295412015359439,0.4989860123768521,0.6699715587058951,0.10565408319234848,0.3736606572803698
dlinear,p19,2024,ok,76.34956860542297,1200770,O(n*d),0.8378919543023821,0.82772233113527,0.4937726265088699,0.6418430474579475,0.1287505030632019,0.43102500532802784
gru_d,p19,42,ok,274.2079908847809,672036,O(n*d^2),0.9448328877005348,0.9519784595194504,0.7662299525973991,0.7347089937566214,0.08582685142755508,0.2978344092243596
gru_d,p19,123,ok,298.1928150653839,672036,O(n*d^2),0.9457624372062875,0.9556192381847346,0.7790479444621236,0.7812456008135878,0.05965684726834297,0.2082062507930555
gru_d,p19,2024,ok,274.8040280342102,672036,O(n*d^2),0.9457648679306434,0.9496524683657103,0.7519433661955905,0.800385849656282,0.04969055578112602,0.17134116344938152
linear_gru,p19,42,ok,5502.3801345825195,619522,O(n*d^2),0.8112311618862421,0.8157389705286694,0.296231447368197,0.6370585932289015,0.11400467157363892,0.38167319062509036
linear_gru,p19,123,ok,4019.999443769455,619522,O(n*d^2),0.8175417274347755,0.8167536170833266,0.300847320051452,0.6078599324855208,0.13518792390823364,0.4164352470322659
linear_gru,p19,2024,ok,4667.368941545486,619522,O(n*d^2),0.8083183438664723,0.8207943811668637,0.3108066366833843,0.6424040658734537,0.10411294549703598,0.3362469263766941
mtan,p19,42,ok,471.10794591903687,843010,O(n*k*d),0.943373440285205,0.9498736248602582,0.7858378388646258,0.7783314480547678,0.06018787622451782,0.21200384674103637
mtan,p19,123,ok,482.52472281455994,843010,O(n*k*d),0.9433701993193971,0.9506231671554252,0.7690893018212858,0.7788811781861806,0.05790961533784866,0.19563146433547923
mtan,p19,2024,ok,360.5276379585266,843010,O(n*k*d),0.9431743234483876,0.9498782829182937,0.7759431139756835,0.7517387470746905,0.07479909062385559,0.2734308961974947
latent_ode,p19,42,ok,1129.6966512203217,40482,O(n*s*d),0.9420004861448713,0.9520139012653716,0.7257284341204606,0.6365985434158788,0.13346223533153534,0.4144218901270314
latent_ode,p19,123,ok,1582.5489978790283,40482,O(n*s*d),0.9434739102252471,0.9546770953160189,0.7637732848885704,0.7429250469830861,0.07717811316251755,0.24983146959229519
latent_ode,p19,2024,ok,1446.4545135498047,40482,O(n*s*d),0.944179225409172,0.9508781452017951,0.754063039844707,0.7783744196027462,0.05867556855082512,0.20225220499070068
neural_cde,p19,42,ok,825.0801005363464,664706,O(n*s*d),0.6137680278723059,0.6471893682863206,0.1663285077824359,0.5443557899890944,0.21083545684814453,0.6207084774971008
neural_cde,p19,123,ok,326.82590508461,664706,O(n*s*d),0.5742604521147301,0.5889504787673563,0.13840039583887329,0.4785415215252939,0.2968672215938568,0.9815894302568937
neural_cde,p19,2024,ok,1197.4493131637573,664706,O(n*s*d),0.6158244206773619,0.6394104113672818,0.17723151578038118,0.549919929222675,0.21056437492370605,0.6204345972914445
raindrop,p19,42,error,65.33757281303406,,,,,,,,
raindrop,p19,123,error,66.87104225158691,,,,,,,,
raindrop,p19,2024,error,54.586586713790894,,,,,,,,
s4,p19,42,ok,326.246919631958,1534210,O(n*log_n*d),0.9397889321017663,0.9421400333759984,0.7129862271245195,0.7631749864195071,0.06198463588953018,0.20756217774591948
s4,p19,123,ok,539.3351933956146,1534210,O(n*log_n*d),0.9402864203532653,0.9460791302798074,0.7529856073217543,0.7637878267387027,0.06578119844198227,0.22339357592557607
s4,p19,2024,ok,441.8657023906708,1534210,O(n*log_n*d),0.9365666018473505,0.9362040472448598,0.7437246025848104,0.7506342422463634,0.07399848848581314,0.26319100794039274
mamba,p19,42,ok,364.8697717189789,1771266,O(n*d),0.9388089450656294,0.9357030022196658,0.6962647423020973,0.750692410678149,0.07012509554624557,0.25512093180104306
mamba,p19,123,ok,265.16654443740845,1771266,O(n*d),0.9342610597958192,0.9361645550136907,0.6663820007747273,0.7587686076272335,0.06355348229408264,0.22600185039796328
mamba,p19,2024,ok,359.2516791820526,1771266,O(n*d),0.9401296386323125,0.9397077169844947,0.6988852261051474,0.7844689718635443,0.054398063570261,0.19934060557892447
patchtst,p19,42,ok,167.87430214881897,1598210,O(n^2*d) FLOP / O(n*d) HBM,0.9128836493274995,0.9162821406004441,0.6153982010607701,0.7548854253172506,0.06274474412202835,0.21700955033302308
patchtst,p19,123,ok,172.70207381248474,1598210,O(n^2*d) FLOP / O(n*d) HBM,0.9106830335439959,0.9231266505727387,0.6357928676398281,0.7422075526392073,0.07087738066911697,0.2399956782397471
patchtst,p19,2024,ok,144.79690647125244,1598210,O(n^2*d) FLOP / O(n*d) HBM,0.9135067250040513,0.9232902901767631,0.6467785094554939,0.7231988908672489,0.08255898952484131,0.27918306471485843
